"filename", "language", "Python", "Markdown", "C++", "Properties", "Shell Script", "PowerShell", "JSON", "HTML", "JavaScript", "PostCSS", "XML", "reStructuredText", "comment", "blank", "total"
"/home/david/DVHS Robotics/vex-soy-sauce/README.md", "Markdown", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 47
"/home/david/DVHS Robotics/vex-soy-sauce/config.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 23
"/home/david/DVHS Robotics/vex-soy-sauce/imageEdit.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 45
"/home/david/DVHS Robotics/vex-soy-sauce/main.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 70
"/home/david/DVHS Robotics/vex-soy-sauce/override.py", "Python", 354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38, 404
"/home/david/DVHS Robotics/vex-soy-sauce/path.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/home/david/DVHS Robotics/vex-soy-sauce/render.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 29
"/home/david/DVHS Robotics/vex-soy-sauce/venv/bin/Activate.ps1", "PowerShell", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 106, 34, 248
"/home/david/DVHS Robotics/vex-soy-sauce/venv/bin/activate.csh", "Shell Script", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 11, 28
"/home/david/DVHS Robotics/vex-soy-sauce/venv/bin/activate.fish", "Shell Script", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 14, 14, 70
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/_blit_info.h", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/_camera.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 4, 27
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/_pygame.h", "C++", 0, 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 43, 375
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/_surface.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 31
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/camera.h", "C++", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 20, 219
"/home/david/DVHS Robotics/vex-soy-sauce/venv/include/site/python3.12/pygame/font.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 16
